goos: linux
goarch: amd64
pkg: lc23bench
cpu: AMD Ryzen AI 9 HX 370 w/ Radeon 890M           
BenchmarkFlattenSort/k=10/n=100-24         	   21267	     49505 ns/op	   41232 B/op	    1010 allocs/op
BenchmarkFlattenSort/k=10/n=100-24         	   23422	     50150 ns/op	   41232 B/op	    1010 allocs/op
BenchmarkFlattenSort/k=10/n=100-24         	   21726	     50990 ns/op	   41232 B/op	    1010 allocs/op
BenchmarkFlattenSort/k=10/n=100-24         	   23277	     53510 ns/op	   41232 B/op	    1010 allocs/op
BenchmarkFlattenSort/k=10/n=100-24         	   25656	     49007 ns/op	   41232 B/op	    1010 allocs/op
BenchmarkFlattenSort/k=10/n=100-24         	   24816	     44433 ns/op	   41232 B/op	    1010 allocs/op
BenchmarkFlattenSort/k=10/n=100-24         	   23869	     46192 ns/op	   41232 B/op	    1010 allocs/op
BenchmarkFlattenSort/k=10/n=100-24         	   28809	     41558 ns/op	   41232 B/op	    1010 allocs/op
BenchmarkFlattenSort/k=10/n=100-24         	   22779	     45890 ns/op	   41232 B/op	    1010 allocs/op
BenchmarkFlattenSort/k=10/n=100-24         	   28732	     41351 ns/op	   41232 B/op	    1010 allocs/op
BenchmarkFlattenSort/k=10/n=200-24         	   11302	    109101 ns/op	   92048 B/op	    2012 allocs/op
BenchmarkFlattenSort/k=10/n=200-24         	   12448	     99180 ns/op	   92048 B/op	    2012 allocs/op
BenchmarkFlattenSort/k=10/n=200-24         	   10900	    114707 ns/op	   92048 B/op	    2012 allocs/op
BenchmarkFlattenSort/k=10/n=200-24         	   12326	     93670 ns/op	   92048 B/op	    2012 allocs/op
BenchmarkFlattenSort/k=10/n=200-24         	   12525	     96754 ns/op	   92048 B/op	    2012 allocs/op
BenchmarkFlattenSort/k=10/n=200-24         	   11894	    105172 ns/op	   92048 B/op	    2012 allocs/op
BenchmarkFlattenSort/k=10/n=200-24         	   11554	     99701 ns/op	   92048 B/op	    2012 allocs/op
BenchmarkFlattenSort/k=10/n=200-24         	   13825	     91907 ns/op	   92048 B/op	    2012 allocs/op
BenchmarkFlattenSort/k=10/n=200-24         	    8577	    127431 ns/op	   92048 B/op	    2012 allocs/op
BenchmarkFlattenSort/k=10/n=200-24         	    9507	    126133 ns/op	   92048 B/op	    2012 allocs/op
BenchmarkFlattenSort/k=10/n=300-24         	    7916	    173304 ns/op	  135312 B/op	    3013 allocs/op
BenchmarkFlattenSort/k=10/n=300-24         	    6088	    171591 ns/op	  135313 B/op	    3013 allocs/op
BenchmarkFlattenSort/k=10/n=300-24         	   10000	    175648 ns/op	  135312 B/op	    3013 allocs/op
BenchmarkFlattenSort/k=10/n=300-24         	   10000	    151504 ns/op	  135312 B/op	    3013 allocs/op
BenchmarkFlattenSort/k=10/n=300-24         	    9985	    177232 ns/op	  135312 B/op	    3013 allocs/op
BenchmarkFlattenSort/k=10/n=300-24         	    7735	    145218 ns/op	  135313 B/op	    3013 allocs/op
BenchmarkFlattenSort/k=10/n=300-24         	    6093	    165507 ns/op	  135312 B/op	    3013 allocs/op
BenchmarkFlattenSort/k=10/n=300-24         	    9492	    140343 ns/op	  135312 B/op	    3013 allocs/op
BenchmarkFlattenSort/k=10/n=300-24         	    6102	    169425 ns/op	  135312 B/op	    3013 allocs/op
BenchmarkFlattenSort/k=10/n=300-24         	   10000	    131220 ns/op	  135312 B/op	    3013 allocs/op
BenchmarkFlattenSort/k=10/n=400-24         	    6792	    173311 ns/op	  192272 B/op	    4014 allocs/op
BenchmarkFlattenSort/k=10/n=400-24         	    7293	    171531 ns/op	  192272 B/op	    4014 allocs/op
BenchmarkFlattenSort/k=10/n=400-24         	    6848	    216710 ns/op	  192272 B/op	    4014 allocs/op
BenchmarkFlattenSort/k=10/n=400-24         	    7044	    183400 ns/op	  192272 B/op	    4014 allocs/op
BenchmarkFlattenSort/k=10/n=400-24         	    3969	    259717 ns/op	  192272 B/op	    4014 allocs/op
BenchmarkFlattenSort/k=10/n=400-24         	    4950	    231274 ns/op	  192272 B/op	    4014 allocs/op
BenchmarkFlattenSort/k=10/n=400-24         	    5367	    244828 ns/op	  192272 B/op	    4014 allocs/op
BenchmarkFlattenSort/k=10/n=400-24         	    5964	    204874 ns/op	  192272 B/op	    4014 allocs/op
BenchmarkFlattenSort/k=10/n=400-24         	    5028	    217247 ns/op	  192272 B/op	    4014 allocs/op
BenchmarkFlattenSort/k=10/n=400-24         	    4725	    219596 ns/op	  192272 B/op	    4014 allocs/op
BenchmarkFlattenSort/k=10/n=500-24         	    4090	    252385 ns/op	  208272 B/op	    5014 allocs/op
BenchmarkFlattenSort/k=10/n=500-24         	    4005	    290256 ns/op	  208272 B/op	    5014 allocs/op
BenchmarkFlattenSort/k=10/n=500-24         	    4266	    304144 ns/op	  208272 B/op	    5014 allocs/op
BenchmarkFlattenSort/k=10/n=500-24         	    4738	    286444 ns/op	  208273 B/op	    5014 allocs/op
BenchmarkFlattenSort/k=10/n=500-24         	    4231	    286472 ns/op	  208273 B/op	    5014 allocs/op
BenchmarkFlattenSort/k=10/n=500-24         	    5392	    313032 ns/op	  208272 B/op	    5014 allocs/op
BenchmarkFlattenSort/k=10/n=500-24         	    3621	    290671 ns/op	  208272 B/op	    5014 allocs/op
BenchmarkFlattenSort/k=10/n=500-24         	    3536	    330748 ns/op	  208272 B/op	    5014 allocs/op
BenchmarkFlattenSort/k=10/n=500-24         	    3499	    299088 ns/op	  208273 B/op	    5014 allocs/op
BenchmarkFlattenSort/k=10/n=500-24         	    4027	    296985 ns/op	  208272 B/op	    5014 allocs/op
BenchmarkFlattenSort/k=100/n=100-24        	    1887	    698297 ns/op	  518464 B/op	   10017 allocs/op
BenchmarkFlattenSort/k=100/n=100-24        	    1671	    680528 ns/op	  518464 B/op	   10017 allocs/op
BenchmarkFlattenSort/k=100/n=100-24        	    1918	    613674 ns/op	  518464 B/op	   10017 allocs/op
BenchmarkFlattenSort/k=100/n=100-24        	    1899	    631797 ns/op	  518465 B/op	   10017 allocs/op
BenchmarkFlattenSort/k=100/n=100-24        	    1836	    580994 ns/op	  518465 B/op	   10017 allocs/op
BenchmarkFlattenSort/k=100/n=100-24        	    2494	    556093 ns/op	  518465 B/op	   10017 allocs/op
BenchmarkFlattenSort/k=100/n=100-24        	    1587	    657462 ns/op	  518465 B/op	   10017 allocs/op
BenchmarkFlattenSort/k=100/n=100-24        	    1848	    634791 ns/op	  518464 B/op	   10017 allocs/op
BenchmarkFlattenSort/k=100/n=100-24        	    1770	    639135 ns/op	  518464 B/op	   10017 allocs/op
BenchmarkFlattenSort/k=100/n=100-24        	    1888	    548910 ns/op	  518464 B/op	   10017 allocs/op
BenchmarkFlattenSort/k=100/n=200-24        	    1176	   1370400 ns/op	  981569 B/op	   20019 allocs/op
BenchmarkFlattenSort/k=100/n=200-24        	     865	   1419911 ns/op	  981570 B/op	   20019 allocs/op
BenchmarkFlattenSort/k=100/n=200-24        	     987	   1190821 ns/op	  981569 B/op	   20019 allocs/op
BenchmarkFlattenSort/k=100/n=200-24        	    1352	   1160891 ns/op	  981569 B/op	   20019 allocs/op
