goos: linux
goarch: amd64
pkg: lc25bench
cpu: AMD Ryzen AI 9 HX 370 w/ Radeon 890M           
BenchmarkArray/k=5/n=100-24         	 2392824	       496.1 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=100-24         	 2656735	       449.0 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=100-24         	 2724806	       443.8 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=100-24         	 2599656	       454.8 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=100-24         	 2707216	       459.8 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=100-24         	 2630672	       447.7 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=100-24         	 2584268	       456.2 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=100-24         	 2632146	       448.5 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=100-24         	 2743047	       458.0 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=100-24         	 2513702	       456.5 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=1000-24        	  306180	      3886 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=1000-24        	  304573	      3920 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=1000-24        	  311476	      3904 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=1000-24        	  303624	      3919 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=1000-24        	  311419	      3856 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=1000-24        	  311538	      3868 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=1000-24        	  307440	      3887 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=1000-24        	  302947	      3898 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=1000-24        	  300366	      3967 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=1000-24        	  300691	      3941 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=10000-24       	   30288	     38893 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=10000-24       	   30693	     39300 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=10000-24       	   31282	     38830 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=10000-24       	   30792	     39022 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=10000-24       	   30981	     38620 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=10000-24       	   29426	     40648 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=10000-24       	   30908	     38569 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=10000-24       	   30553	     39268 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=10000-24       	   31076	     38648 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=5/n=10000-24       	   30559	     39174 ns/op	      64 B/op	       2 allocs/op
BenchmarkArray/k=10/n=100-24        	 2467882	       480.6 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=100-24        	 2400668	       487.1 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=100-24        	 2424085	       493.5 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=100-24        	 2489800	       484.5 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=100-24        	 2289232	       534.6 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=100-24        	 2453222	       480.9 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=100-24        	 2550211	       482.3 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=100-24        	 2272639	       511.5 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=100-24        	 2398387	       494.6 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=100-24        	 2553309	       470.2 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=1000-24       	  293205	      4119 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=1000-24       	  290372	      4171 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=1000-24       	  290755	      4139 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=1000-24       	  291189	      4175 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=1000-24       	  294960	      4132 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=1000-24       	  293830	      4110 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=1000-24       	  291112	      4126 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=1000-24       	  282168	      4142 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=1000-24       	  286240	      4134 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=1000-24       	  287824	      4122 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=10000-24      	   28405	     41405 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=10000-24      	   29444	     40786 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=10000-24      	   29262	     40870 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=10000-24      	   29037	     41289 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=10000-24      	   29353	     40807 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=10000-24      	   29116	     40934 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=10000-24      	   28984	     41339 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=10000-24      	   29247	     40938 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=10000-24      	   29737	     40389 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=10/n=10000-24      	   29419	     40790 ns/op	     112 B/op	       2 allocs/op
BenchmarkArray/k=20/n=100-24        	 2278294	       513.7 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=100-24        	 2389846	       508.7 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=100-24        	 2353718	       505.3 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=100-24        	 2458221	       505.9 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=100-24        	 2109013	       583.1 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=100-24        	 2164956	       538.7 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=100-24        	 2379064	       503.8 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=100-24        	 2365657	       513.3 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=100-24        	 2370184	       501.0 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=100-24        	 2407635	       500.5 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=1000-24       	  285590	      4202 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=1000-24       	  289714	      4186 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=1000-24       	  287643	      4170 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=1000-24       	  279885	      4291 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=1000-24       	  278708	      4322 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=1000-24       	  282349	      4181 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=1000-24       	  287644	      4195 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=1000-24       	  290313	      4191 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=1000-24       	  286424	      4189 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=1000-24       	  285488	      4199 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=10000-24      	   29238	     41114 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=10000-24      	   28830	     41818 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=10000-24      	   29343	     41174 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=10000-24      	   28442	     42082 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=10000-24      	   29234	     41412 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=10000-24      	   29232	     41280 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=10000-24      	   29028	     41394 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=10000-24      	   29203	     41274 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=10000-24      	   28990	     41350 ns/op	     192 B/op	       2 allocs/op
BenchmarkArray/k=20/n=10000-24      	   28964	     41103 ns/op	     192 B/op	       2 allocs/op
BenchmarkIterative/k=5/n=100-24     	 2659654	       452.3 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=100-24     	 2659915	       454.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=5/n=100-24     	 2673324	       449.1 ns/op	      16 B/op	       1 allocs/op
