goos: linux
goarch: amd64
pkg: lc27bench
cpu: AMD Ryzen AI 9 HX 370 w/ Radeon 890M           
BenchmarkWriteIndex/n=100/density=10-24         	34481883	        35.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=100/density=10-24         	30106867	        34.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=100/density=10-24         	34291128	        34.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=100/density=10-24         	33944037	        35.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=100/density=10-24         	33928024	        35.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=100/density=50-24         	43535919	        28.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=100/density=50-24         	44860123	        26.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=100/density=50-24         	41881389	        28.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=100/density=50-24         	42682909	        27.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=100/density=50-24         	41397667	        27.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=100/density=90-24         	46928908	        25.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=100/density=90-24         	47322276	        24.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=100/density=90-24         	48080546	        24.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=100/density=90-24         	47394272	        24.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=100/density=90-24         	47045676	        25.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=1000/density=10-24        	 3135312	       361.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=1000/density=10-24        	 3611442	       331.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=1000/density=10-24        	 3572919	       332.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=1000/density=10-24        	 3443530	       343.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=1000/density=10-24        	 3593601	       337.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=1000/density=50-24        	 4788429	       251.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=1000/density=50-24        	 4686674	       258.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=1000/density=50-24        	 4516137	       249.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=1000/density=50-24        	 4907659	       246.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=1000/density=50-24        	 4857220	       250.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=1000/density=90-24        	 4980469	       239.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=1000/density=90-24        	 5002438	       238.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=1000/density=90-24        	 5038653	       240.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=1000/density=90-24        	 5060538	       236.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=1000/density=90-24        	 4960437	       237.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=10000/density=10-24       	  334186	      3525 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=10000/density=10-24       	  389830	      3429 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=10000/density=10-24       	  381360	      3445 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=10000/density=10-24       	  374068	      3537 ns/op	       0 B/op	       0 allocs/op
BenchmarkWriteIndex/n=10000/density=10-24       	  330937	      3595 ns/op	       0 B/op	       0 allocs/op
