goos: linux
goarch: amd64
pkg: lc28bench
cpu: AMD Ryzen AI 9 HX 370 w/ Radeon 890M           
BenchmarkStrStrLib/n=100/ratio=0.01/early-24         	394893258	         3.025 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.01/early-24         	409527109	         2.867 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.01/early-24         	415544180	         2.751 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.01/early-24         	414455112	         2.905 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.01/early-24         	409738971	         2.873 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.01/late-24          	401062692	         2.912 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.01/late-24          	387982768	         3.037 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.01/late-24          	422582806	         2.742 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.01/late-24          	441999810	         3.106 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.01/late-24          	390631812	         3.031 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.01/nomatch-24       	345575816	         3.566 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.01/nomatch-24       	323656956	         3.676 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.01/nomatch-24       	341544793	         3.507 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.01/nomatch-24       	337615006	         3.534 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.01/nomatch-24       	337828620	         3.514 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.05/early-24         	302921864	         4.067 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.05/early-24         	295863945	         4.068 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.05/early-24         	291814029	         4.034 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.05/early-24         	301222628	         3.956 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.05/early-24         	302817166	         3.993 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.05/late-24          	36667143	        32.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.05/late-24          	37135950	        32.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.05/late-24          	36963337	        32.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.05/late-24          	36933156	        32.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.05/late-24          	37004767	        32.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.05/nomatch-24       	298634504	         4.030 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.05/nomatch-24       	304046976	         3.940 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.05/nomatch-24       	302447528	         4.024 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.05/nomatch-24       	301953504	         3.945 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.05/nomatch-24       	287475414	         4.067 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.10/early-24         	305319476	         3.960 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.10/early-24         	304861310	         3.943 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.10/early-24         	287274044	         4.070 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.10/early-24         	278909390	         4.437 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.10/early-24         	272040471	         4.383 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.10/late-24          	36372732	        32.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.10/late-24          	35209484	        32.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.10/late-24          	36614553	        32.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.10/late-24          	36525040	        32.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.10/late-24          	36071808	        32.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.10/nomatch-24       	306270022	         3.920 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.10/nomatch-24       	305830911	         3.930 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.10/nomatch-24       	298200036	         4.006 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.10/nomatch-24       	305148252	         3.926 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=100/ratio=0.10/nomatch-24       	297961478	         3.988 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=1000/ratio=0.01/early-24        	304992283	         3.943 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=1000/ratio=0.01/early-24        	305278398	         3.900 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=1000/ratio=0.01/early-24        	300563164	         4.135 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=1000/ratio=0.01/early-24        	282578517	         4.130 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=1000/ratio=0.01/early-24        	297291411	         3.965 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=1000/ratio=0.01/late-24         	 4888338	       246.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=1000/ratio=0.01/late-24         	 4849611	       246.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=1000/ratio=0.01/late-24         	 4898547	       245.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=1000/ratio=0.01/late-24         	 4804926	       247.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=1000/ratio=0.01/late-24         	 4878020	       246.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=1000/ratio=0.01/nomatch-24      	100000000	        11.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=1000/ratio=0.01/nomatch-24      	100000000	        11.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=1000/ratio=0.01/nomatch-24      	100000000	        10.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=1000/ratio=0.01/nomatch-24      	108367905	        11.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=1000/ratio=0.01/nomatch-24      	109056762	        10.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=1000/ratio=0.05/early-24        	223188534	         5.242 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=1000/ratio=0.05/early-24        	233338648	         5.225 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=1000/ratio=0.05/early-24        	216913387	         5.369 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=1000/ratio=0.05/early-24        	229340349	         5.262 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=1000/ratio=0.05/early-24        	234707667	         5.105 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=1000/ratio=0.05/late-24         	 6200592	       191.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=1000/ratio=0.05/late-24         	 5949021	       199.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=1000/ratio=0.05/late-24         	 5820286	       194.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrStrLib/n=1000/ratio=0.05/late-24         	 5879997	       194.3 ns/op	       0 B/op	       0 allocs/op
