goos: linux
goarch: amd64
pkg: lc3bench
cpu: AMD Ryzen AI 9 HX 370 w/ Radeon 890M           
BenchmarkLoopInit/n=1000-24         	 5449248	       224.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoopInit/n=1000-24         	 5406368	       216.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoopInit/n=1000-24         	 5493814	       216.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoopInit/n=1000-24         	 5412231	       214.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoopInit/n=1000-24         	 5467368	       214.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoopInit/n=1000-24         	 5226028	       215.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoopInit/n=1000-24         	 5636908	       212.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoopInit/n=1000-24         	 5661885	       213.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoopInit/n=1000-24         	 5439018	       217.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoopInit/n=1000-24         	 5382129	       215.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoopInit/n=10000-24        	  515588	      2003 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoopInit/n=10000-24        	  519045	      1980 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoopInit/n=10000-24        	  589879	      2007 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoopInit/n=10000-24        	  590656	      2032 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoopInit/n=10000-24        	  558166	      2098 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoopInit/n=10000-24        	  581679	      2011 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoopInit/n=10000-24        	  597772	      1999 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoopInit/n=10000-24        	  597504	      1996 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoopInit/n=10000-24        	  600476	      1991 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoopInit/n=10000-24        	  579184	      2046 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoopInit/n=100000-24       	   60753	     19726 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoopInit/n=100000-24       	   60327	     19777 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoopInit/n=100000-24       	   57715	     20131 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoopInit/n=100000-24       	   60832	     19644 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoopInit/n=100000-24       	   61053	     19633 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoopInit/n=100000-24       	   60463	     19876 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoopInit/n=100000-24       	   60375	     19698 ns/op	       0 B/op	       0 allocs/op
