goos: linux
goarch: amd64
pkg: lc32bench
cpu: AMD Ryzen AI 9 HX 370 w/ Radeon 890M           
BenchmarkStack/n=100-24   	 5982042	       185.5 ns/op	     120 B/op	       4 allocs/op
BenchmarkStack/n=100-24   	 8731196	       149.8 ns/op	     120 B/op	       4 allocs/op
BenchmarkStack/n=100-24   	 8568159	       132.8 ns/op	     120 B/op	       4 allocs/op
BenchmarkStack/n=100-24   	 7884840	       140.3 ns/op	     120 B/op	       4 allocs/op
BenchmarkStack/n=100-24   	 9420208	       154.5 ns/op	     120 B/op	       4 allocs/op
BenchmarkStack/n=100-24   	 6348832	       184.7 ns/op	     120 B/op	       4 allocs/op
BenchmarkStack/n=100-24   	 7330545	       171.6 ns/op	     120 B/op	       4 allocs/op
BenchmarkStack/n=100-24   	 7319611	       162.1 ns/op	     120 B/op	       4 allocs/op
BenchmarkStack/n=100-24   	 6539762	       164.9 ns/op	     120 B/op	       4 allocs/op
BenchmarkStack/n=100-24   	 7262148	       172.5 ns/op	     120 B/op	       4 allocs/op
BenchmarkStack/n=200-24   	 3555189	       344.0 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=200-24   	 3319753	       380.1 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=200-24   	 3174334	       393.2 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=200-24   	 2769676	       430.4 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=200-24   	 2765620	       392.7 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=200-24   	 3433995	       347.9 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=200-24   	 3315657	       336.3 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=200-24   	 3076222	       361.4 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=200-24   	 4910438	       326.0 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=200-24   	 4610274	       340.7 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=300-24   	 2540427	       426.7 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=300-24   	 3551641	       326.6 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=300-24   	 3425822	       364.4 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=300-24   	 3827276	       374.5 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=300-24   	 2196510	       542.3 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=300-24   	 2268494	       518.8 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=300-24   	 2734228	       433.9 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=300-24   	 2631829	       487.9 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=300-24   	 2332515	       517.8 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=300-24   	 3056204	       474.1 ns/op	     504 B/op	       6 allocs/op
BenchmarkStack/n=400-24   	 1858354	       640.9 ns/op	    1016 B/op	       7 allocs/op
BenchmarkStack/n=400-24   	 1626948	       695.1 ns/op	    1016 B/op	       7 allocs/op
BenchmarkStack/n=400-24   	 1891374	       601.7 ns/op	    1016 B/op	       7 allocs/op
BenchmarkStack/n=400-24   	 1751017	       709.3 ns/op	    1016 B/op	       7 allocs/op
BenchmarkStack/n=400-24   	 1734168	       678.8 ns/op	    1016 B/op	       7 allocs/op
BenchmarkStack/n=400-24   	 2034297	       608.0 ns/op	    1016 B/op	       7 allocs/op
BenchmarkStack/n=400-24   	 1767112	       693.9 ns/op	    1016 B/op	       7 allocs/op
BenchmarkStack/n=400-24   	 1781852	       687.6 ns/op	    1016 B/op	       7 allocs/op
BenchmarkStack/n=400-24   	 2025006	       627.9 ns/op	    1016 B/op	       7 allocs/op
BenchmarkStack/n=400-24   	 1654243	       710.2 ns/op	    1016 B/op	       7 allocs/op
BenchmarkStack/n=500-24   	 1887646	       678.2 ns/op	    1016 B/op	       7 allocs/op
