goos: linux
goarch: amd64
pkg: lc33bench
cpu: AMD Ryzen AI 9 HX 370 w/ Radeon 890M           
BenchmarkLinearPresent/n=100-24         	98275582	        10.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=100-24         	99627360	        10.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=100-24         	110182731	        10.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=100-24         	131732250	         9.445 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=100-24         	100000000	        10.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=100-24         	109498760	        10.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=100-24         	112909537	        10.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=100-24         	94322581	        10.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=100-24         	100000000	        10.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=100-24         	100000000	        10.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=200-24         	54548200	        20.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=200-24         	57156100	        20.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=200-24         	53312683	        20.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=200-24         	51813940	        20.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=200-24         	57909666	        20.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=200-24         	57978764	        20.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=200-24         	58038124	        20.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=200-24         	54766764	        20.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=200-24         	56450265	        20.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=200-24         	58080846	        20.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=300-24         	29378647	        40.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=300-24         	29470323	        38.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=300-24         	29459901	        40.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=300-24         	29302950	        40.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=300-24         	29283450	        37.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=300-24         	28563471	        39.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=300-24         	29528934	        41.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=300-24         	29664344	        37.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=300-24         	28845495	        39.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=300-24         	29553247	        40.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=400-24         	19973145	        58.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=400-24         	21266950	        59.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=400-24         	19180839	        55.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=400-24         	22174770	        56.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=400-24         	19382866	        58.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=400-24         	22055959	        60.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=400-24         	19637089	        60.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=400-24         	22086169	        59.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=400-24         	19606012	        56.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=400-24         	21601498	        56.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=500-24         	17026858	        69.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=500-24         	18292704	        67.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=500-24         	17222443	        66.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=500-24         	18442273	        66.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=500-24         	17530651	        67.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=500-24         	17999415	        68.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=500-24         	17323635	        67.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=500-24         	16902549	        68.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=500-24         	17027403	        67.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=500-24         	21155566	        65.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearPresent/n=600-24         	15448638	        78.14 ns/op	       0 B/op	       0 allocs/op
